;country;description;designation;points;price;province;region_1;region_2;taster_name;taster_twitter_handle;sex;taster_credit;title;variety;winery
404;US;This wine is well made and competitively priced. Characteristic variety notes of orange blossom, rose and lychee mark the nose, and meet additional notes of ripe mango mixed with banana on the palate. Exotic and fun, this medium-bodied, heady wine would perfectly quell a spicy kick.;;86;11.0;America;;;Alexander Peartree;;Male;;Oliver 2014 Gewurztraminer (America);Gewürztraminer;Oliver
405;US;This blend of Pommard, Coury and Dijon 667 clones shows bright cherry fruit, bedecked with lovely spices. It's round and forward, with medium weight and depth.;Olson Estate Vineyard;90;65.0;Oregon;Dundee Hills;Willamette Valley;Paul Gregutt;@paulgwine ;male;;Torii Mor 2013 Olson Estate Vineyard Pinot Noir (Dundee Hills);Pinot Noir;Torii Mor
406;US;Not much Cabernet Sauvignon remains in the Russian River Valley, making this wine an outlier worth seeking. Cinnamon and nutmeg dust the entry, followed by a persistent level of baking spice on the palate. Approachable blue fruit and licorice dominate midway, revealing the 5% Malbec that's been blended in.;Lagomarsino Vineyard;90;55.0;California;Russian River Valley;Sonoma;Virginie Boone;@vboone;female;;St. Francis 2011 Lagomarsino Vineyard Cabernet Sauvignon (Russian River Valley);Cabernet Sauvignon;St. Francis
407;US;Light aromas of herb, plum, vanilla, cocoa and dark fruit lead to a palate that is simultaneously sweet and tart, with a plush midpalate. It provides intrigue.;;88;19.0;Washington;Horse Heaven Hills;Columbia Valley;Sean P. Sullivan;@wawinereport;;;Mercer 2014 Malbec (Horse Heaven Hills);Malbec;Mercer
408;Portugal;With minty wood flavors, this wine is smooth and polished. It offers berry fruits from the blend of 10 varieties in this old-vine vineyard. With spice and some firm tannins in the background, it is ready to drink.;Aguia Moura em Vinhas Velhas Reserva;90;18.0;Douro;;;Roger Voss;@vossroger;male;;Wines & Winemakers 2014 Aguia Moura em Vinhas Velhas Reserva Red (Douro);Portuguese Red;Wines & Winemakers
409;Australia;Made in a very ripe style, this wine's traces of raisiny character detract slightly from its velvety, suede-like texture and ample concentration. It's still admirable for its concentration and richness, but some will find it overripe. Drink now-2015.;Roennfeldt Road Goose-yard Block;90;100.0;South Australia;Barossa Valley;;Joe Czerwinski;@JoeCz;Male;;Schubert 2006 Roennfeldt Road Goose-yard Block Shiraz (Barossa Valley);Shiraz;Schubert
410;Argentina;Dark aromas suggest shoe polish and roasted black fruits. This feels rubbery and chunky, while the flavor profile includes quick pokes of cherry, plum and rubbery berry before a salty-tasting finish.;;86;19.0;Mendoza Province;Uco Valley;;Michael Schachner;@wineschach;male;;Jed Wines 2012 Malbec (Uco Valley);Malbec;Jed Wines
411;US;Crushed peppercorn aromas mark this dry, full-bodied Zin, along with all sorts of other racy spices. The alcohol is moderate, and the flavors kick in midpalate, suggesting berries, currants, tobacco, leather and coffee. A very nice example of a balanced, Sonoma Zinfandel with classic elegance.;;87;26.0;California;Bennett Valley;Sonoma;;;;;Frostwatch 2005 Zinfandel (Bennett Valley);Zinfandel;Frostwatch
412;US;With ample power under its engine, this Ferrington Vineyard Pinot is rich in cranberry and red cherry, soft and lilting in texture yet nuanced in toasty oak. Big on the finish, it'll beautifully withstand a few more years on its own before opening, the acidity lively enough to keep flavors vibrant yet mellowed.;Ferrington Vineyard;92;65.0;California;Anderson Valley;;Virginie Boone;@vboone;female;;Williams Selyem 2011 Ferrington Vineyard Pinot Noir (Anderson Valley);Pinot Noir;Williams Selyem
413;France;This textured wine offers tangy, zesty minerality and a dry, nutty edge, making it a wine for food. With its structure and a perfumed aftertaste, it is ready to drink.;La Vache;87;12.0;Bordeaux;Bordeaux Rosé;;Roger Voss;@vossroger;male;;Maison Bouey 2016 La Vache Rosé (Bordeaux Rosé);Rosé;Maison Bouey
414;US;Oversized, with massive berry-cherry flavors that explode in the mouth. In fact, it's too big. The spicy fruity flavors are so powerful they dominate every other feature. That said, it's dry, and the tannins are soft and intricate. Match it with dramatic, boldly flavored dishes. —S.H.;Frei Vineyard;87;26.0;California;Dry Creek Valley;Sonoma;;;;;Gallo of Sonoma 1997 Frei Vineyard Cabernet Sauvignon (Dry Creek Valley);Cabernet Sauvignon;Gallo of Sonoma
415;US;Green plum, mowed lawn, pungent green apple skins and a touch of candied peach ripeness make for a classic Sauv Blanc nose on this bottling from one of the region's oldest producers. The palate is zippy with persistent and penetrating acidity, showing tight green apple and well as riper pineapple flavors, with a flash of vanilla toward the finish.;Flood Family Vineyards;89;18.0;California;Santa Barbara County;Central Coast;Matt Kettmann;@mattkettmann;male;;Rancho Sisquoc 2016 Flood Family Vineyards Sauvignon Blanc (Santa Barbara County);Sauvignon Blanc;Rancho Sisquoc
416;Austria;A wonderful perfume of citrus zest and the subtlest hint of aromatic pine. The palate shines with rounded but zesty citrus and shows immense concentration for such a zippy, slender wine. This is like dancing on a high-wire and terribly animating.;Steinberg;91;29.0;Vienna;;;Anne Krebiehl MW;@AnneInVino;Female;;Hajszan Neumann 2014 Steinberg Riesling (Vienna);Riesling;Hajszan Neumann
417;US;A light, ethereal wine akin to Gamay Noir, made in an easy-to-consume-often style, with beautiful aromatics of just-ripe cherry and raspberry and a rose garden in bloom. Juicy and soft, the wine is balanced and appealing in every way and makes for a fun introduction to a rare grape in California.;;90;24.0;California;Solano County Green Valley;North Coast;Virginie Boone;@vboone;female;;Broc Cellars 2012 Valdiguié (Solano County Green Valley);Valdiguié;Broc Cellars
418;Italy;Made with botrytized Grillo grapes, this dessert wine opens with aromas that recall dried peach and citrus zest. The rich, sweet palate offers lemon honey, candied tangerine slices and toasted almond.;Grillo d'Oro Passito;88;30.0;Sicily & Sardinia;Sicilia;;Kerin O’Keefe;@kerinokeefe;female;;Tenuta Gorghi Tondi 2011 Grillo d'Oro Passito Grillo (Sicilia);Grillo;Tenuta Gorghi Tondi
419;France;Ripe and full in the mouth, this generous wine has yellow fruits and a warm, rich texture. Flavors of freshness flow right through the wine. Balanced and smooth at the end, it is ready to drink.;;90;20.0;Burgundy;Mâcon-Davayé;;Roger Voss;@vossroger;male;;Domaine de la Croix Senaillet 2013  Mâcon-Davayé;Chardonnay;Domaine de la Croix Senaillet
420;Greece;Lemon zest, lime and melon aromas lead this elegant white blend. Zesty citrus and lush melon on the palate offers a refined character that is nonetheless fine for everyday enjoyment. The finish is expressive and slightly floral.;Ovilos;87;38.0;Pangeon;;;Susan Kostrzewa;@suskostrzewa;;3;Estate Biblia Chora 2011 Ovilos White (Pangeon);White Blend;Estate Biblia Chora
421;Italy;This special wine is aged for 18 months in oak and shows a massively long and intense finish, with evolving notes of black fruit, ash, prune, spice, leather and bitter black chocolate. It showcases the hard work achieved by Feudi di San Gregorio over the years. This should age for 10 years or more.;Piano di Montevergine Riserva;94;65.0;Southern Italy;Taurasi;;;;;;Feudi di San Gregorio 2007 Piano di Montevergine Riserva  (Taurasi);Aglianico;Feudi di San Gregorio
422;France;92-94 A closed up wine, although all the elements are there, promising great final balance, richness and power.;Barrel sample;93;;Bordeaux;Sauternes;;Roger Voss;@vossroger;male;;Château Guiraud 2010 Barrel sample  (Sauternes);Bordeaux-style White Blend;Château Guiraud
423;US;"An astonishing wine, creamy and loaded with lush fruit flavors. The tropical fruits are just the beginning; layer upon layer of marshmallow, whipped cream, brioche, butterscotch, buttered nuts, toast and more keep piling on. With all that richness, it remains a billowy, pillowy Chardonnay, light as a feather, yet deep and dreamy.";Sigrid;95;80.0;Oregon;Willamette Valley;Willamette Valley;Paul Gregutt;@paulgwine ;male;;Bergström 2009 Sigrid Chardonnay (Willamette Valley);Chardonnay;Bergström
424;US;There are some problems here, beginning with a vegetal, asparagus smell and ending with a soft, simple syrup finish. In between are some decent cherry flavors wrapped into harsh tannins.;;82;21.0;California;Carneros;Napa-Sonoma;;;;;Buena Vista 2004 Merlot (Carneros);Merlot;Buena Vista
425;US;Beautifully floral on the nose with hints of fresh apple, lemon and peach, this dry, delicately textured Riesling fills the mouth with ripe grapefruit and lemon flavors. Its sprightly and crisp in character but finishes long with a hint of white-tea astringency.;Riesling 10 Hanging Delta Vineyard;88;30.0;New York;Finger Lakes;Finger Lakes;Anna Lee C. Iijima;;Female;;Fox Run 2011 Riesling 10 Hanging Delta Vineyard Riesling (Finger Lakes);Riesling;Fox Run
426;US;Borderline translucent in color, and equally light in the nose. The aromas are of cranberry and chlorine. The palate is all strawberry and some bitter oak, and while it picks up steam and fills out with time, the initial impression is hard to overcome.;Umpqua Cuvee;82;39.0;Oregon;Umpqua Valley;Southern Oregon;Michael Schachner;@wineschach;male;;Henry Estate 2001 Umpqua Cuvee Pinot Noir (Umpqua Valley);Pinot Noir;Henry Estate
427;Portugal;A ripe wine, with white fruits and a touch of spice. The crisp minerality of Vinho Verde is all there, with a satisfyingly textured aftertaste.;;89;12.0;Vinho Verde;;;Roger Voss;@vossroger;male;;Solar de Pinheiro 2009 White (Vinho Verde);Portuguese White;Solar de Pinheiro
428;US;very tannic wine, with an astringent, dry mouthfeel, but it's so rich in fruit, it's enjoyable now. Floods the mouth with blackberry, cherry, plum, currant and dark chocolate flavors, edged with dusty spices. Should develop over the next six years, but if you can't wait, give it a good long decant.;Vittorio's Vineyard;91;44.0;California;Napa Valley;Napa;;;;;V. Sattui 2008 Vittorio's Vineyard Cabernet Sauvignon (Napa Valley);Cabernet Sauvignon;V. Sattui
429;Germany;Clingy, concentrated peach and pink grapefruit flavors abound in this fresh, fragrant semisweet Riesling. Zesty acidity balances out all the sweet, juicy fruit, highlighting a long, pleasantly astringent lime pith finish.;Oppenheimer Sackträger Spätlese;90;16.0;Rheinhessen;;;Anna Lee C. Iijima;;Female;;Dr. Heyden 2015 Oppenheimer Sackträger Spätlese Riesling (Rheinhessen);Riesling;Dr. Heyden
430;Spain;If you like Txakoli's high acidity and spritzy feel, then this is one of the best on the market. Waxy aromas of honeyed apple, warm radiator dust and cider are complex and pure. In the mouth, malic acidity rules, while flavors of nectarine, green apple and stony minerals finish long and pure.;Getaria;89;25.0;Northern Spain;Getariako Txakolina;;Michael Schachner;@wineschach;male;;Txomín Etxaníz 2013 Getaria White (Getariako Txakolina);White Blend;Txomín Etxaníz
431;France;Banana and ripe red-berry notes create the attractive open of this bright wine. It comes with a raw edge, but if slightly chilled it would make for a fine apéritif.;Nouveau;87;10.0;Beaujolais;Beaujolais-Villages;;Roger Voss;@vossroger;male;;Henry Fessy 2012 Nouveau  (Beaujolais-Villages);Gamay;Henry Fessy
432;US;This lush, smooth and supple Cabernet is drinkable now for its rich array of red berry fruit, briary spice, red licorice, blond tobacco and sandalwood flavors. It shows the softness of Alexander Valley Cabernet, but make no mistake, the balance enables it to age 6–8 years.;Special Reserve;90;38.0;California;Alexander Valley;Sonoma;;;;;Herzog 2009 Special Reserve Cabernet Sauvignon (Alexander Valley);Cabernet Sauvignon;Herzog
433;US;From a site that reaches up to 1,800 feet and dates back grape-growing wise to before the Civil War, this wine is bold and beautiful. It's a study in dusty leather, black pepper and cigar, allowing sauvage, savory aspects to speak louder than fruit. Full bodied and robustly structured, it offers a memorable Tahitian-vanilla note on the finish.;;94;75.0;California;Mount Veeder;Napa;Virginie Boone;@vboone;female;;Mt. Brave 2013 Merlot (Mount Veeder);Merlot;Mt. Brave
434;Chile;Leathery aromas of roasted black fruits show on the nose. Solid in feel, cherry, raspberry and a kick of salt house a medium-bodied palate.;Reserva Estate Bottled;85;15.0;Maule Valley;;;Michael Schachner;@wineschach;male;;Luma Chequén 2012 Reserva Estate Bottled Cabernet Sauvignon (Maule Valley);Cabernet Sauvignon;Luma Chequén
435;Italy;Le Buche is an interesting winery to watch, and its various Tuscan blends show great promise. Memento is equal parts Sangiovese and Syrah with a soft, velvety texture and a bright berry finish.;Giuseppe Olivi Memento;90;45.0;Tuscany;Toscana;;;;;;Le Buche 2006 Giuseppe Olivi Memento Red (Toscana);Red Blend;Le Buche
436;US;This is finished in a dense, dark, super-saturated style, and aged in two thirds new French oak barrels. Grainy, smoky, ripe tannins wrap around deep cassis, black cherry and black olive, with occasional whiffs of truffle. For those who love a blockbuster style, this wine rocks. Just a little heat in the finish.;Reckoning;93;39.0;Washington;Columbia Valley (WA);Columbia Valley;Paul Gregutt;@paulgwine ;male;;Adams Bench 2008 Reckoning Red (Columbia Valley (WA));Bordeaux-style Red Blend;Adams Bench
437;US;Light in weight and texture, this wine was aged in both French and American oak. Smokiness surrounds the otherwise restrained offerings of plum, dark cherry and herb.;;85;34.0;California;Napa Valley;Napa;Virginie Boone;@vboone;female;;Freemark Abbey 2012 Merlot (Napa Valley);Merlot;Freemark Abbey
438;Argentina;Gritty, burnt, stalky aromas are shy on fruit and not that fresh. This is tight and rough in feel, with peppery, herbal flavors that run green and low on fruit. More oak and modest berry flavors carry the finish.;Reserva;83;14.0;Mendoza Province;Mendoza;;Michael Schachner;@wineschach;male;;Kaiken 2011 Reserva Cabernet Sauvignon (Mendoza);Cabernet Sauvignon;Kaiken
439;France;From the Marne Valley, close to Epernay, this Champagne has had some good bottle aging. That has softened and broadened the crisp texture and minerality of this Chardonnay-based wine. It is full, rich and creamy, finishing with a fine burst of acidity.;Blanc de Blancs Brut;89;95.0;Champagne;Champagne;;Roger Voss;@vossroger;male;;Emile Leclère NV Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Emile Leclère
440;France;A lovely touch of smoke and earth plays around the honeysuckle and peach notes. The palate adds even more stone fruit: apricot and juicy mirabelle. They are boosted by some residual sweetness that makes for an easy, friendly and fluid palate. The finish is off dry, peachy and floral.;Harth;89;24.0;Alsace;Alsace;;Anne Krebiehl MW;@AnneInVino;Female;;Robert Karcher et Fils 2015 Harth Gewurztraminer (Alsace);Gewürztraminer;Robert Karcher et Fils
441;US;Lighter in color, this blend of Pinot Noir, Cabernet Franc and Syrah has aromas and flavors of mesquite smoke, strawberry and cherry, with the Pinot seemingly in the lead. The smoky flavors are medium bodied, with a light grip of chalky tannins.;Cashmere;87;22.0;Washington;Columbia Valley (WA);Columbia Valley;Sean P. Sullivan;@wawinereport;;;Voila! 2012 Cashmere Red (Columbia Valley (WA));Red Blend;Voila!
442;US;Just delicious. Feels like a modern, cult-style Napa Cabernet, soft and complex and slightly sweet, with tannins so finely ground, it's drinkable now. The flavors are Cabernet-like also, with blackberries,blueberries, mocha and spices, although its briary, brambly quality is distinctive to Zinfandel.;George's Vineyard;91;34.0;California;Napa Valley;Napa;;;;;JR Wine 2009 George's Vineyard Zinfandel (Napa Valley);Zinfandel;JR Wine
443;Italy;Underbrush, charred earth, ripe dark-skinned fruit, grilled herb and a whiff of cooking spice aromas all come together on this chewy red. The round palate doles out fleshy black cherry, cured meat, chopped herb and tobacco while a touch of star anise backs up the finish. Robust, velvety tannins support the juicy fruit. This will offer fine near-to-mid-term pleasure.;;91;;Tuscany;Brunello di Montalcino;;Kerin O’Keefe;@kerinokeefe;female;;Querce Bettina 2011  Brunello di Montalcino;Sangiovese;Querce Bettina
444;Greece;With its sea salt, lemon peel and fresh-fruit aromas, this wine offers focus and finesse from the beginning. On the palate, bright lemon and lime peel flavors and a pronounced mineral edge are beautifully integrated. This is a terroir-driven white that's made for fresh fish and vegetarian dishes.;Canava Chrissou;92;25.0;Santorini;;;Susan Kostrzewa;@suskostrzewa;;3;Tselepos 2015 Canava Chrissou Assyrtiko (Santorini);Assyrtiko;Tselepos
445;Italy;A blend of Sangiovese, with 10% Cabernet Sauvignon and Merlot, this offers aromas of ripe blackberry, baking spice, toasted oak and a balsamic note. The round, savory palate offers black cherry, ground pepper, anise, espresso and tobacco alongside polished tannins.;Famiglia Zingarelli Riserva;91;26.0;Tuscany;Chianti Classico;;Kerin O’Keefe;@kerinokeefe;female;;Rocca delle Macìe 2012 Famiglia Zingarelli Riserva  (Chianti Classico);Red Blend;Rocca delle Macìe
446;Argentina;Tight and intense for a $10 varietal, with crusty, charred oak aromas on top of ripe berry fruit. The palate is thick and full, with clamping tannins and flavors of lemony oak, plum and blackberry. Vanilla and mocha work the woody finish.;Oak Cask;86;10.0;Mendoza Province;Mendoza;;Michael Schachner;@wineschach;male;;Trapiche 2009 Oak Cask Syrah (Mendoza);Syrah;Trapiche
447;France;93-95. Barrel sample. Spice and green apple flavors dominate the palate of this crisp yet creamy wine. It has a fine, dense texture, and the fruit comes through with great intensity. The wood is neatly in support.;Pavillon Blanc de Margaux Barrel Sample;94;;Bordeaux;Bordeaux Blanc;;Roger Voss;@vossroger;male;;Château Margaux 2011 Pavillon Blanc de Margaux Barrel Sample  (Bordeaux Blanc);Bordeaux-style White Blend;Château Margaux
448;US;Hawley has been making this single-vineyard Pinot for years, and the wine has achieved real consistency. The 2011, like the 2010, is bright in acidity, with ripe raspberry, cranberry and sandalwood flavors. It's a fine Pinot to drink now.;Oehlman Vineyard;88;38.0;California;Russian River Valley;Sonoma;;;;;Hawley 2011 Oehlman Vineyard Pinot Noir (Russian River Valley);Pinot Noir;Hawley
449;US;Gary Farrell's Bordeaux blend is quite good and well-made, but it isn't showing much complexity now. It's a big, tannic wine that impresses with its blast of fruit. Blackberries, cherries, plums, currants, cocoa all swamp the palate, along with smoky oak notes. Maybe it will do interesting things in the cellar.;Encounter;87;65.0;California;Sonoma County;Sonoma;;;;;Gary Farrell 2004 Encounter Red (Sonoma County);Bordeaux-style Red Blend;Gary Farrell
450;US;A well-made wine, showing lots of terroir in the mineral-infused blackberry, black currant, chocolate and anise flavors. The tannins are structurally superb, while the finish is dry and complex. A very fine wine that should gather momentum for at least a decade.;Wurtele Vineyard;95;65.0;California;Spring Mountain District;Napa;;;;;Terra Valentine 2007 Wurtele Vineyard Cabernet Sauvignon (Spring Mountain District);Cabernet Sauvignon;Terra Valentine
451;US;Here's a supple, polished Merlot that shows lots of North Coast class. It's fully dry, with rich, smooth tannins and complex flavors of black currants, cedar and herbs. Good buy for under $20.;Vintner's Reserve;87;19.0;California;Sonoma-Napa-Mendocino;North Coast;;;;;Kendall-Jackson 2006 Vintner's Reserve Merlot (Sonoma-Napa-Mendocino);Merlot;Kendall-Jackson
452;US;Muddled mixed berries meet strawberry Jell-O flavors on this streamlined blend of Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot and Malbec. The racing acidity offers a sense of juiciness to the palate, making this an easy-to-enjoy sipper.;;86;20.0;Virginia;Monticello;;Alexander Peartree;;Male;;Trump 2013 Meritage (Monticello);Meritage;Trump
453;Spain;Floral plum and horsey aromas comprise the nose on this multigrape blend led by Bobal. A grabby palate exhibits raw, tough tannins, while plum and berry flavors finish rugged.;Hoya de Cadenas 130 Anniversary;86;15.0;Levante;Utiel-Requena;;Michael Schachner;@wineschach;male;;Vicente Gandia 2014 Hoya de Cadenas 130 Anniversary Red (Utiel-Requena);Red Blend;Vicente Gandia
454;US;A lush, rich Cab from Temecula Valley, which smells nicely of cassis and cranberry with a splash of rose water. Mellow and balanced, the wine's tannins are well-integrated here with an appropriate oak finish.;Reserve;89;42.0;California;Temecula Valley;South Coast;Virginie Boone;@vboone;female;;Middle Ridge 2008 Reserve Cabernet Sauvignon (Temecula Valley);Cabernet Sauvignon;Middle Ridge
455;US;This wine has aromas of currants and strawberries and tastes fruity but dry, with supportive tannins and acidity that make it appetizing. Full bodied but not overpowering, it is very versatile with food.;;89;15.0;California;Lodi;Central Valley;Jim Gordon;@gordone_cellars;male;1;LangeTwins 2012 Zinfandel (Lodi);Zinfandel;LangeTwins
456;Italy;This cheerful, screw cap Valpolicella offers crisp raspberry and cherry flavors over a lean, compact body. It's a lightweight, easy-going wine that would pair with soups or sandwiches.;La Roverina;85;18.0;Veneto;Valpolicella;;;;;;Speri 2007 La Roverina  (Valpolicella);Corvina, Rondinella, Molinara;Speri
457;Italy;This well-priced Moscato offers intense sensations of honeysuckle, tropical fruit, ripe yellow peach and juicy honeydew melon. The palate is brightened by fresh acidity, which imparts a lively, bright character.;;87;9.0;Northeastern Italy;Vigneti delle Dolomiti;;Kerin O’Keefe;@kerinokeefe;female;;Mezzacorona 2013 Moscato (Vigneti delle Dolomiti);Moscato;Mezzacorona
458;Italy;This edition of Nicolis' base Valpolicella Classico wine shows more heft and greater concentration of cherry fruit. Background tones include mocha, dried mint and candy cough drop.;;84;13.0;Veneto;Valpolicella Classico;;;;;;Nicolis 2010  Valpolicella Classico;Corvina, Rondinella, Molinara;Nicolis
459;US;This is a stellar deal, so buy and drink up now. Lime blossom, ripe nectarine, lemongrass and wet gravel aromas show on the nose. The palate is focused and grassy, fleshed out with ripe stone fruit and layers of lime peel and rain-drenched cement. Elegant yet approachable.;;90;15.0;California;Santa Ynez Valley;Central Coast;Matt Kettmann;@mattkettmann;male;;Gainey 2014 Sauvignon Blanc (Santa Ynez Valley);Sauvignon Blanc;Gainey
460;Chile;"Black fruit up front has an earthy, composty quality; the palate's mixed berries take a back seat to wood. Persistent herb and white-pepper flavors on the finish persist longer than I wanted them to. A rustic, rough-around-the-edges wine that begs for stew or black beans.";Don Maximiano Estate - Reserva;86;25.0;Aconcagua Valley;;;;;;;Errazuriz 1999 Don Maximiano Estate - Reserva Syrah (Aconcagua Valley);Syrah;Errazuriz
461;New Zealand;Sourced from a region along the eastern coast of the South Island, this is fresh and greenish on the nose—think green onion, cut grass, lime—yet riper-tasting, offering hints of stone fruit and melon. It's a pleasant mix that finishes soft and easy. Drink now.;Waipara;87;25.0;Waipara;;;Joe Czerwinski;@JoeCz;Male;;Grey's Peak 2015 Waipara Sauvignon Blanc (Waipara);Sauvignon Blanc;Grey's Peak
462;US;This is a spicy, complex, oak-aged and full-bodied wine instead of a simply herbal one, and it shows hints of ginger and nutmeg in the aroma leading to vibrant but subtle lemon and grapefruit flavors. The layers of spice and crisp fruit make a wonderful combination to sip and explore.;Reserve;91;22.0;California;High Valley;;Jim Gordon;@gordone_cellars;male;1;Brassfield 2016 Reserve Sauvignon Blanc (High Valley);Sauvignon Blanc;Brassfield
463;Spain;Friendly but standard aromas of berry fruits and creamy oak set up a mature, earthy feeling plate, with berry and coffee flavors. A soft, aged, mature finish is earthy in character and ultimately a bit hollow.;Crianza;86;20.0;Central Spain;La Mancha;;Michael Schachner;@wineschach;male;;Gran Castillo Royal 2008 Crianza Tempranillo (La Mancha);Tempranillo;Gran Castillo Royal
464;US;Made from three of the prominent grapes grown in Virginia—Chambourcin, Cabernet Franc and Petit Verdot—this dry, spicy red blend is energetic and packed with red cherry, pepper and cinnamon. Friendly and accessible, it's a great everyday sip. The wine pays tribute to service dogs and their work with disabled people.;Liberty Service Dog Red;84;12.0;Virginia;Virginia;;Susan Kostrzewa;@suskostrzewa;;3;Chateau Morrisette NV Liberty Service Dog Red Red (Virginia);Red Blend;Chateau Morrisette
465;US;Dried strawberry, cocoa, legume and savory spice notes weave together to comprise the bouquet. Medium in body, this has a soft entrance, but it gains tannic traction on the midpalate. A smoked rosemary flavor lingers on the finish.;;85;18.0;Virginia;Monticello;;;;;;Autumn Hill 2008 Cabernet Sauvignon (Monticello);Cabernet Sauvignon;Autumn Hill
466;Germany;Ripe, almost ruddy, notes of blackberry and cherry penetrate the core of this bold, lusciously textured Pinot Noir. Its fruit flavors show freshly still, but glimmers of autumn leaves and tilled earth suggest a deepening earthiness with age. Drink now through 2020.;XII Trauben Trocken;92;62.0;Ahr;;;Anna Lee C. Iijima;;Female;;Winzergenossenschaft Mayschoss-Altenahr 2012 XII Trauben Trocken Spätburgunder (Ahr);Spätburgunder;Winzergenossenschaft Mayschoss-Altenahr
467;US;This shows how a wine can be both immediately delicious and drinkable, yet possess that extra stuffing to make it complex and ageable. It offers generous raspberry, cherry, chocolate, vanilla and spice flavors, balanced with gorgeous acidity and a hint of dusty tannins. Drink now–2018.;Rincon Vineyard;94;58.0;California;Arroyo Grande Valley;Central Coast;;;;;Talley 2010 Rincon Vineyard Pinot Noir (Arroyo Grande Valley);Pinot Noir;Talley
468;US;Like a bouquet made of different types of flowers, this polished wine brings diverse elements into a pleasing whole. There are ripe tropical fruit, vanilla and butter aromas, rich apple and pear flavors, a soothing smooth texture and lingering finish.;Savoy Vineyard;91;48.0;California;Anderson Valley;;Jim Gordon;@gordone_cellars;male;1;FEL 2012 Savoy Vineyard Chardonnay (Anderson Valley);Chardonnay;FEL
469;Argentina;This copper-colored rosé is based on 85% Pinot Gris and 15% Syrah. It smells of dried apricot and cantaloupe, while the palate feels fleshy and round. Moderately complex flavors of salt water and stone fruits finish full.;A Rosé Is A Rosé Is A Rosé;87;22.0;Mendoza Province;Luján de Cuyo;;Michael Schachner;@wineschach;male;;Luigi Bosca 2016 A Rosé Is A Rosé Is A Rosé Rosé (Luján de Cuyo);Rosé;Luigi Bosca
470;Austria;A pleasant whiff of smoke informs the generous palate of dark, brooding fruits: black cherry and dark plum dominate a palate dense but juicy tannins. Despite its generosity, the palate is medium bodied and has a fresh vein of acidity. The fruit flavors echo long.;Joseph;90;21.0;Mittelburgenland;;;Anne Krebiehl MW;@AnneInVino;Female;;Strehn 2014 Joseph Blaufränkisch (Mittelburgenland);Blaufränkisch;Strehn
471;Italy;This alluring Chardonnay displayed a gorgeous nose of vanilla and candied apricot. While it is relatively simple on the palate, the flavors are concentrated and it finishes well. Overall, an easygoing bottle of wine that will match most foods.;;87;17.0;Piedmont;Langhe;;;;;;Il Falchetto 2006 Chardonnay (Langhe);Chardonnay;Il Falchetto
472;US;Almost as good as some of the winery's best single-vineyard bottlings, this wine has a tremendous nose that offers tangerine blossom, pink grapefruit skin, sea salt and toast around a line of graphite. The palate presents juicy nectarine and ripe citrus alongside yeasty sizzle, salt and a chalk minerality.;;92;35.0;California;Santa Lucia Highlands;Central Coast;Matt Kettmann;@mattkettmann;male;;Testarossa 2013 Chardonnay (Santa Lucia Highlands);Chardonnay;Testarossa
473;New Zealand;Passion fruit and green onion aromas give a zesty impression even before tasting. On the palate, there's more passion fruit, underscored by underripe pineapple, a long, citrusy finish and a dry, slightly chalky texture.;;89;17.0;Marlborough;;;Joe Czerwinski;@JoeCz;Male;;Nautilus 2016 Sauvignon Blanc (Marlborough);Sauvignon Blanc;Nautilus
474;France;A blend of Sauvignon Blanc and Loin de l'Oeil, this is ripe, fruity and perfumed. It has an attractive floral character, with flavors of toast and hedgerow. It's ready to drink, but it could age.;Blanc Sec Vieilles Vignes;88;15.0;Southwest France;Gaillac;;Roger Voss;@vossroger;male;;Domaine du Moulin 2010 Blanc Sec Vieilles Vignes White (Gaillac);White Blend;Domaine du Moulin
475;US;From nearly 30-year-old vines planted at 1,700 feet, this very balanced wine begins with an excellent nose of citrus blossoms, lime rinds, salted cream and a touch of popcorn. The sharply focused palate rides a racy line of lime zest with flashes of tangerine and lemon and a creamy character on the edge, mouthwatering throughout the sip.;Split Rail Vineyard;92;30.0;California;Santa Cruz Mountains;Central Coast;Matt Kettmann;@mattkettmann;male;;Sante Arcangeli 2014 Split Rail Vineyard Chardonnay (Santa Cruz Mountains);Chardonnay;Sante Arcangeli
476;France;This is deliciously crisp and steely, with an apple flavor and the weight of citrus and grapefruit. It has a minerally, chalky feel, and then the wine rounds out, with crisp fruit on the finish.;Drouhin-Vaudun Premier Cru;90;37.0;Burgundy;Chablis;;Roger Voss;@vossroger;male;;Joseph Drouhin 2010 Drouhin-Vaudun Premier Cru  (Chablis);Chardonnay;Joseph Drouhin
477;US;This is a Zin for lovers of big, ripe to overripe, tannic, high-alcohol interpretations of the variety. Made from very old vines, the flavors are mainly of raisins, with complexities of oak, balsam and peppery spices.;Reserve Pagani Vineyard;86;38.0;California;Sonoma Valley;Sonoma;;;;;St. Francis 2004 Reserve Pagani Vineyard Zinfandel (Sonoma Valley);Zinfandel;St. Francis
